                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.58748,                 2.2139,                 1.1958,                0.95222,                0.33333,                 0.4975,                0.44775,                0.84199,                 4.9026,                 1.5238,             0.00020362,             0.00020362,             0.00020362
                     50,                0.62141,                 2.2608,                 1.1945,                0.96119,                0.33333,                 0.4975,                0.43117,                0.97816,                 4.8907,                 1.5746,              0.0002039,              0.0002039,              0.0002039
                     51,                0.58827,                  2.062,                 1.1438,                0.96119,                0.33333,                 0.4975,                0.43117,                0.97816,                 4.8907,                 1.5746,               0.000202,               0.000202,               0.000202
                     52,                 0.5891,                 2.2652,                 1.1421,                0.96987,                0.33333,                 0.4975,                0.43117,                 1.0782,                 4.8102,                 1.5776,             0.00019804,             0.00019804,             0.00019804
                     53,                0.67611,                 2.2218,                 1.1348,                0.96987,                0.33333,                 0.4975,                0.43117,                 1.0782,                 4.8102,                 1.5776,             0.00019408,             0.00019408,             0.00019408
                     54,                0.63906,                  2.166,                 1.2391,                0.97062,                0.33333,                 0.4975,                0.41458,                0.99868,                 4.7884,                 1.5533,             0.00019012,             0.00019012,             0.00019012
                     55,                0.48242,                 1.9508,                 1.1141,                0.97062,                0.33333,                 0.4975,                0.41458,                0.99868,                 4.7884,                 1.5533,             0.00018616,             0.00018616,             0.00018616
                     56,                0.52353,                 2.0541,                 1.1537,                0.97113,                0.33333,                 0.4975,                0.38142,                0.97821,                 4.7752,                 1.5436,              0.0001822,              0.0001822,              0.0001822
                     57,                0.50541,                 2.2727,                 1.1478,                0.97113,                0.33333,                 0.4975,                0.38142,                0.97821,                 4.7752,                 1.5436,             0.00017824,             0.00017824,             0.00017824
                     58,                0.58134,                 1.9063,                 1.1799,                0.97747,                0.33333,                 0.4975,                0.38142,                0.92469,                 4.7661,                 1.4971,             0.00017428,             0.00017428,             0.00017428
                     59,                0.54868,                 1.8943,                   1.09,                0.97747,                0.33333,                 0.4975,                0.38142,                0.92469,                 4.7661,                 1.4971,             0.00017032,             0.00017032,             0.00017032
                     60,                0.54156,                 2.1926,                 1.1149,                0.97665,                0.33333,                 0.4975,                0.36483,                0.87919,                 4.7587,                 1.4636,             0.00016636,             0.00016636,             0.00016636
                     61,                0.79404,                 2.2474,                 1.3678,                0.97665,                0.33333,                 0.4975,                0.36483,                0.87919,                 4.7587,                 1.4636,              0.0001624,              0.0001624,              0.0001624
                     62,                0.55008,                 1.6573,                 1.0607,                 0.9781,                0.33333,                 0.4975,                0.36483,                0.83127,                 4.6519,                 1.4646,             0.00015844,             0.00015844,             0.00015844
                     63,                0.54036,                 1.7332,                 1.0833,                 0.9781,                0.33333,                 0.4975,                0.36483,                0.83127,                 4.6519,                 1.4646,             0.00015448,             0.00015448,             0.00015448
                     64,                  0.557,                 1.9256,                 1.1126,                0.97911,                0.33333,                 0.4975,                0.36483,                0.86906,                  4.662,                 1.4834,             0.00015052,             0.00015052,             0.00015052
                     65,                0.52276,                 1.6144,                 1.0309,                0.97911,                0.33333,                 0.4975,                0.36483,                0.86906,                  4.662,                 1.4834,             0.00014656,             0.00014656,             0.00014656
                     66,                0.64107,                 2.1471,                 1.2189,                0.98179,                0.33333,                   0.56,                0.41483,                0.92946,                  4.663,                 1.5414,              0.0001426,              0.0001426,              0.0001426
                     67,                0.58263,                 2.0414,                  1.244,                0.98179,                0.33333,                   0.56,                0.41483,                0.92946,                  4.663,                 1.5414,             0.00013864,             0.00013864,             0.00013864
                     68,                0.52759,                 1.5378,                 1.0835,                0.98383,                0.33333,                0.57375,                0.42583,                 1.0056,                   4.67,                 1.7021,             0.00013468,             0.00013468,             0.00013468
                     69,                 0.3469,                 1.4919,                0.95074,                0.98383,                0.33333,                0.57375,                0.42583,                 1.0056,                   4.67,                 1.7021,             0.00013072,             0.00013072,             0.00013072
                     70,                0.55556,                 1.7496,                 1.1618,                0.98356,                0.33333,                0.58083,                0.42317,                 1.0621,                 4.6532,                 1.8098,             0.00012676,             0.00012676,             0.00012676
                     71,                0.37123,                 1.5871,                0.99705,                0.98356,                0.33333,                0.58083,                0.42317,                 1.0621,                 4.6532,                 1.8098,              0.0001228,              0.0001228,              0.0001228
                     72,                0.43184,                 1.4482,                 1.0189,                0.98595,                0.33333,                0.74667,                 0.4895,                 1.1336,                 4.6573,                 1.9004,             0.00011884,             0.00011884,             0.00011884
                     73,                0.55655,                 1.5116,                 1.0392,                0.98595,                0.33333,                0.74667,                 0.4895,                 1.1336,                 4.6573,                 1.9004,             0.00011488,             0.00011488,             0.00011488
                     74,                 0.5156,                 1.6493,                 1.1881,                0.98677,                0.33333,                0.74667,                 0.4895,                 1.1735,                 4.6763,                 1.9749,             0.00011092,             0.00011092,             0.00011092
                     75,                0.46868,                 1.5984,                 1.0878,                0.98677,                0.33333,                0.74667,                 0.4895,                 1.1735,                 4.6763,                 1.9749,             0.00010696,             0.00010696,             0.00010696
                     76,                0.52012,                 1.6712,                 1.2052,                0.98732,                0.33333,                0.73958,                0.48454,                 1.2313,                 4.6764,                 2.0437,               0.000103,               0.000103,               0.000103
                     77,                0.66393,                 1.7335,                 1.1907,                0.98732,                0.33333,                0.73958,                0.48454,                 1.2313,                 4.6764,                 2.0437,              9.904e-05,              9.904e-05,              9.904e-05
                     78,                0.46687,                 1.6775,                 1.1293,                 0.9879,                0.33333,                0.73958,                0.47692,                 1.2512,                 4.7292,                 2.0453,              9.508e-05,              9.508e-05,              9.508e-05
                     79,                0.42956,                 1.3968,                 1.0892,                 0.9879,                0.33333,                0.73958,                0.47692,                 1.2512,                 4.7292,                 2.0453,              9.112e-05,              9.112e-05,              9.112e-05
                     80,                0.48617,                 1.6712,                 1.1454,                0.98886,                0.33333,                0.73533,                 0.4412,                 1.3213,                  4.694,                 2.1183,              8.716e-05,              8.716e-05,              8.716e-05
                     81,                0.49906,                 1.7478,                 1.0882,                0.98886,                0.33333,                0.73533,                 0.4412,                 1.3213,                  4.694,                 2.1183,               8.32e-05,               8.32e-05,               8.32e-05
                     82,                0.47757,                 1.4515,                 1.0402,                0.99014,                0.33333,                0.73533,                0.47437,                 1.3525,                 4.6733,                 2.1587,              7.924e-05,              7.924e-05,              7.924e-05
                     83,                0.48162,                 1.8357,                 1.1287,                0.99014,                0.33333,                0.73533,                0.47437,                 1.3525,                 4.6733,                 2.1587,              7.528e-05,              7.528e-05,              7.528e-05
                     84,                0.47921,                 1.4569,                  1.141,                0.31481,                0.83333,                0.74667,                0.48117,                 1.3226,                 4.6891,                 2.1412,              7.132e-05,              7.132e-05,              7.132e-05
                     85,                0.40471,                 1.4224,                 1.0222,                0.31481,                0.83333,                0.74667,                0.48117,                 1.3226,                 4.6891,                 2.1412,              6.736e-05,              6.736e-05,              6.736e-05
                     86,                0.44276,                 2.0612,                 1.1161,                0.31481,                0.83333,                0.58083,                0.43142,                 1.2947,                 4.6576,                 2.1496,               6.34e-05,               6.34e-05,               6.34e-05
                     87,                0.80693,                 2.0281,                 1.3381,                0.31481,                0.83333,                0.58083,                0.43142,                 1.2947,                 4.6576,                 2.1496,              5.944e-05,              5.944e-05,              5.944e-05
                     88,                0.44923,                 1.5159,                 1.1008,                 0.9909,                0.33333,                0.57375,                  0.394,                  1.303,                 4.6543,                  2.134,              5.548e-05,              5.548e-05,              5.548e-05
                     89,                0.41973,                 1.4969,                 1.1089,                 0.9909,                0.33333,                0.57375,                  0.394,                  1.303,                 4.6543,                  2.134,              5.152e-05,              5.152e-05,              5.152e-05
                     90,                0.49063,                 1.5048,                 1.1274,                0.99106,                0.33333,                0.57375,                  0.394,                 1.3099,                 4.6241,                 2.0907,              4.756e-05,              4.756e-05,              4.756e-05
                     91,                0.52007,                 2.1785,                 1.3035,                0.99106,                0.33333,                0.57375,                  0.394,                 1.3099,                 4.6241,                 2.0907,               4.36e-05,               4.36e-05,               4.36e-05
                     92,                0.36134,                 1.7513,                 1.0457,                0.99117,                0.33333,                   0.56,                0.40858,                 1.2588,                 4.5051,                 1.9855,              3.964e-05,              3.964e-05,              3.964e-05
                     93,                0.52516,                 2.0074,                 1.2539,                0.99117,                0.33333,                   0.56,                0.40858,                 1.2588,                 4.5051,                 1.9855,              3.568e-05,              3.568e-05,              3.568e-05
                     94,                0.38788,                  1.828,                 1.0577,                0.99111,                0.33333,                0.57375,                0.45137,                 1.1873,                 4.4873,                 1.8998,              3.172e-05,              3.172e-05,              3.172e-05
                     95,                0.37607,                 1.7864,                 1.0583,                0.99111,                0.33333,                0.57375,                0.45137,                 1.1873,                 4.4873,                 1.8998,              2.776e-05,              2.776e-05,              2.776e-05
                     96,                0.35752,                 1.7154,                  1.039,                0.99121,                0.33333,                   0.56,                0.44175,                 1.1382,                 4.4789,                 1.8403,               2.38e-05,               2.38e-05,               2.38e-05
                     97,                0.43673,                   1.78,                 1.0797,                0.99121,                0.33333,                   0.56,                0.44175,                 1.1382,                 4.4789,                 1.8403,              1.984e-05,              1.984e-05,              1.984e-05
                     98,                0.43981,                 1.8193,                 1.0415,                 0.9912,                0.33333,                   0.56,                0.40858,                 1.0758,                 4.5313,                 1.8004,              1.588e-05,              1.588e-05,              1.588e-05
                     99,                0.33986,                 1.7801,                0.99527,                 0.9912,                0.33333,                   0.56,                0.40858,                 1.0758,                 4.5313,                 1.8004,              1.192e-05,              1.192e-05,              1.192e-05
                    100,                0.45006,                 1.9762,                  1.008,                0.99135,                0.33333,                0.57375,                0.41821,                 1.0512,                 4.5068,                 1.7211,               7.96e-06,               7.96e-06,               7.96e-06
